grid_id,lon,lat,obs_density,species_richness,threat_mean,migration_ratio
1_71,-8.90956353691036,34.61739516502144,0.0,0.0,0.0,0.0
1_72,-8.909563536910358,34.98620938179013,0.0,0.0,0.0,0.0
1_73,-8.909563536910358,35.35336958549672,0.0,0.0,0.0,0.0
1_74,-8.90956353691036,35.71886818445297,0.0,0.0,0.0,0.0
1_75,-8.90956353691036,36.082697892395004,0.0,0.0,0.0,0.0
1_76,-8.90956353691036,36.44485172611023,0.0,0.0,0.0,0.0
1_77,-8.90956353691036,36.80532300297854,0.0,0.0,0.0,0.0
1_78,-8.90956353691036,37.164105338431284,0.0,0.0,0.0,0.0
1_79,-8.90956353691036,37.52119264333123,0.0,0.0,0.0,0.0
1_80,-8.909563536910358,37.87657912127694,0.0,0.0,0.0,0.0
1_81,-8.90956353691036,38.23025926583482,0.0,0.0,0.0,0.0
1_82,-8.90956353691036,38.58222785770219,0.0,0.0,0.0,0.0
1_83,-8.90956353691036,38.932479961804674,0.0,0.0,0.0,0.0
1_84,-8.909563536910362,39.281010924330886,0.0,0.0,0.0,0.0
1_85,-8.909563536910358,39.627816369708064,0.0,0.0,0.0,0.0
1_86,-8.909563536910358,39.972892197521396,0.0,0.0,0.0,0.0
1_87,-8.909563536910358,40.31623457938051,0.0,0.0,0.0,0.0
1_88,-8.90956353691036,40.65783995573587,0.0,0.0,0.0,0.0
1_89,-8.90956353691036,40.997705032648554,0.0,0.0,0.0,0.0
1_90,-8.90956353691036,41.3358267785161,0.0,0.0,0.0,0.0
1_91,-8.90956353691036,41.672202420757465,0.0,0.0,0.0,0.0
1_92,-8.909563536910358,42.00682944246015,0.0,0.0,0.0,0.0
1_93,-8.90956353691036,42.33970557899215,0.0,0.0,0.0,0.0
1_94,-8.90956353691036,42.67082881458173,0.0,0.0,0.0,0.0
1_95,-8.90956353691036,43.00019737886769,0.0,0.0,0.0,0.0
1_96,-8.90956353691036,43.32780974342294,0.0,0.0,0.0,0.0
1_97,-8.909563536910358,43.653664618253785,0.0,0.0,0.0,0.0
1_98,-8.909563536910358,43.97776094827796,0.0,0.0,0.0,0.0
1_99,-8.909563536910358,44.30009790978353,0.0,0.0,0.0,0.0
1_100,-8.90956353691036,44.62067490687138,0.0,0.0,0.0,0.0
