grid_id,obs_density,species_richness,migration_ratio,latitude,longitude
15_43,4,1,0.5,24.749882343452892,75.57843245192629
15_44,33,1,0.2727272727272727,25.157110117667052,75.57843245192629
15_48,4,1,0.25,26.77231686184259,75.57843245192629
15_50,1,1,1.0,27.571484572845726,75.57843245192629
15_60,1,1,0.0,31.47854436591311,75.57843245192629
15_65,2,1,0.0,33.37401767593068,75.57843245192629
15_66,2,1,1.0,33.74829778436252,75.57843245192629
15_68,1,1,1.0,34.49197000246001,75.57843245192629
15_7,2,1,0.5,9.34615791751325,75.57843245192629
15_8,2,1,1.0,9.789066678366634,75.57843245192629
16_10,21,4,0.3809523809523809,10.673088880017286,76.02759009398605
16_11,16,2,0.3125,11.114151424867142,76.02759009398605
16_12,30,1,0.1,11.554547978511469,76.02759009398605
16_13,20,1,0.45,11.994253568227144,76.02759009398605
16_14,7,1,0.2857142857142857,12.433243423364331,76.02759009398605
16_18,6,1,0.0,14.181557513997255,76.02759009398605
16_19,3,1,0.0,14.616604651341389,76.02759009398605
16_26,6,1,0.0,17.63658061663447,76.02759009398605
16_27,15,1,0.4666666666666667,18.06411479211288,76.02759009398605
16_28,2,1,0.0,18.490610988853064,76.02759009398605
16_33,3,1,1.0,20.606795505313503,76.02759009398605
16_34,6,1,0.3333333333333333,21.026631845952377,76.02759009398605
16_37,1,1,0.0,22.27898995572114,76.02759009398605
16_38,3,1,0.6666666666666666,22.69399679781292,76.02759009398605
16_43,4,1,0.0,24.749882343452892,76.02759009398605
16_44,8,1,0.5,25.157110117667052,76.02759009398605
16_45,2,1,0.0,25.562983084217514,76.02759009398605
16_46,3,1,0.6666666666666666,25.967485451899854,76.02759009398605
16_48,13,1,0.2307692307692307,26.77231686184259,76.02759009398605
16_54,1,1,0.0,29.15237613428415,76.02759009398605
16_55,4,1,0.75,29.543886679289603,76.02759009398605
16_58,2,1,0.5,30.709307349603503,76.02759009398605
16_59,2,1,0.0,31.09470443671294,76.02759009398605
16_61,1,1,0.0,31.86081627193491,76.02759009398605
16_63,2,1,1.0,32.62061417279348,76.02759009398605
16_67,7,1,0.8571428571428571,34.120951435694295,76.02759009398605
16_68,4,1,0.75,34.49197000246,76.02759009398605
16_69,2,1,0.0,34.86134516989155,76.02759009398605
16_7,1,1,1.0,9.34615791751325,76.02759009398605
16_71,4,1,0.0,35.5951335986947,76.02759009398605
16_8,14,2,0.5714285714285714,9.789066678366634,76.02759009398605
16_9,23,3,0.6086956521739131,10.231385512182252,76.02759009398605
17_0,2,1,0.0,6.231458834326362,76.47674773604581
17_10,17,1,0.4117647058823529,10.673088880017286,76.47674773604581
17_11,20,1,0.5,11.114151424867142,76.47674773604581
17_12,42,1,0.1666666666666666,11.554547978511469,76.47674773604581
17_13,19,1,0.5263157894736842,11.994253568227144,76.47674773604581
17_14,54,2,0.3888888888888889,12.433243423364331,76.47674773604581
17_15,1,1,0.0,12.871492981781698,76.47674773604581
17_19,1,1,1.0,14.616604651341389,76.47674773604581
17_21,1,1,1.0,15.484096447164378,76.47674773604581
17_28,1,1,0.0,18.490610988853064,76.47674773604581
17_32,2,1,0.0,20.18579922913889,76.47674773604581
17_35,9,1,0.6666666666666666,21.445288967716728,76.47674773604581
17_45,1,1,1.0,25.562983084217514,76.47674773604581
17_46,44,1,0.4090909090909091,25.967485451899854,76.47674773604581
17_49,9,1,0.1111111111111111,27.172615960128685,76.47674773604581
17_50,2,1,1.0,27.571484572845726,76.47674773604581
17_52,6,1,0.1666666666666666,28.364874075242138,76.47674773604581
17_53,5,1,0.0,28.75936765623235,76.47674773604581
17_56,1,1,1.0,29.933886790328533,76.47674773604581
17_57,3,1,1.0,30.32236429516476,76.47674773604581
17_58,3,1,0.6666666666666666,30.709307349603503,76.47674773604581
17_59,1,1,0.0,31.09470443671294,76.47674773604581
